Label,Description,FieldType,DataType,TablesList,JoinsList
Account Name,The name of the account.,DIMENSION,TEXT,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
Order Total,Order Total = Item Price + Item Tax + Shipping Price + Shipping Tax,METRIC,CURRENCY,Orders,"Orders, Feedback"
Fees,SUM of all Item Fees that Amazon charges for listing the item.  Does not report Promotions and other charges that are not associated with Amazon's fees they charge for listing the item.,METRIC,CURRENCY,Fees,"Orders, Fees, Feedback"
Orders Marketplace Name,"The marketplace name (I.E. United States, Canada, United Kingdom, France) for where the order was placed.",DIMENSION,TEXT,Orders,"Orders, Feedback"
Total Supply Quantity,"The total item quantity that a seller has in Amazon's fulfillment network supply chain. This includes inventory that is available for shipping, inventory in inbound shipments, and inventory being transferred between Amazon fulfillment centers.",METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Number Of Orders,The number of orders.,METRIC,NUMBER,"Feedback, Fees, Orders, Reimb, Returns, Returns Fba","Feedback, Orders, Fees, Reimb, Returns, Returns Fba"
Average Sales per Order item ,"The average sales per order item, determined by dividing the ordered product sales by the total order items.",METRIC,CURRENCY,Sales And Traffic,Sales And Traffic
Average Selling Price ,"The average price of units sold, calculated by dividing the total ordered product sales by the total units for the selected time period.",METRIC,CURRENCY,Sales And Traffic,Sales And Traffic
Average Units per Order item,The average number of units for each order item for the selected time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Order Item Session Percentage,"The order item session percentage, calculated by dividing the total order items by the number of distinct session counts for the selected time period.",METRIC,PERCENT,Sales And Traffic,Sales And Traffic
Traffic Order Item Session Percentage B2b,**B2B fields not yet ready Nov 2023**,METRIC,PERCENT,Sales And Traffic,Sales And Traffic
Unit Session Percentage,Percentage conversion metric indicating how many units were purchased relative to the number of people who viewed the products.,METRIC,PERCENT,Sales And Traffic,Sales And Traffic
Traffic Unit Session Percentage B2b,**B2B fields not yet ready Nov 2023**,METRIC,PERCENT,Sales And Traffic,Sales And Traffic
Average Offer Count,The average number of offers listed for sale in that particular time period. It is calculated from the total number of offers and the total number of days in the time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Unit Session Percentage by ASIN,Percentage conversion metric indicating how many units were purchased relative to the number of people who viewed the products. This field can be dimensioned by ASIN.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
A To Z Claim,Indicates whether an A-To-Z Claim was filed by the buyer.  Either N for No or Y for Yes.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Amazon Rma ID,The RMA Id assigned by Amazon,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Business Price,The price set specifically for Business Customers.,DIMENSION,TEXT,Inventory,Inventory
Carrier Damaged,"Inventory that was damaged by a carrier during receiving, while in transit to the customer, or while in transit back to Amazon due to a return.",METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Customer Damaged,Inventory that was damaged by a customer.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Comments,Comments provided with feedback.,DIMENSION,TEXT,Feedback,Feedback
