NEW BOM ID,Component Type,PHX Class,Supplier/Manufacturer,Address,Email,Contact Number,SUPPLIER MFG LT,TRANSIT LT,AMZ Safety Days,WH Safety Days,PO Issue Days,Master Pack,MOQ,OrderingUOM,Unit Price (Published Online),Shipping Cost,Landed Cost,"Conversion ( to L, Kg, Caps, pc)",Converted Unit Price,IMS-Unit,Supplier/Manufacturer,Address,Email,Contact Number,Supplier Payment Terms,Product Link,Supplier Product ID/Model #,Description,Remarks,Alternative Supplier 1,Alternative Supplier 2,Monthly Usage,Monthly Spend,duplicate,TOTAL LT BOM MASTER,,Comments,,,,,,,,,
CLEARECOBAG-4X5,Packaging,,EcoEnclose,"280 S Taylor Ave, Ste. 200 Louisville, CO 80027",jeremy@ecoenclose.com,888-445-6575 ext. 004,4,5,60,30,3,1,2000,pcs,0.048,0.0214,0.0694,1,0.0694,Pcs,EcoEnclose,"280 S Taylor Ave, Ste. 200 Louisville, CO 80027",jeremy@ecoenclose.com,888-445-6575 ext. 004,NET30,x,FS4-1000-SUFW,,,,,,,1,12,,,,,,,,,,,
JAR-48-400-1/2oz-Double-Wall-White-Covalence,CM Packaging-Container,C,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,0,3,1,10000,pcs,0.19,0,0.19,1,0.19,Pcs,General Bottle Supply,"1845 Daly Street Los Angeles, CA 90031",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/double-wall-straight-base-jar/J007,J007,,,,,,,1,17,,,,,,,,,,,
LID-48-400-Cap-F217-Liner-White-Covalence,CM Packaging-Top,C,Container and Packaging,"29135 Summit Ranch Dr, Golden, Colorado 80401",Jared.Murray@containers.com,(208) 639-5868,7,7,60,0,3,1,10000,pcs,0.082,0,0.082,1,0.082,Pcs,General Bottle Supply,"1845 Daly Street Los Angeles, CA 90031",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/continuous-thread-polypropylene-lid/L208A,L208A,,,,,,,1,17,,,,,,,,,,,
LABL-TA-5.8x0.625-Cystic-Acne-Spot-0.5oz-Covalence,CM Packaging-Label,C,Wizard Labels,,ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.04,0,0.04,1,0.04,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,x,custom,,,,,,,1,12,,,,,,,,,,,
LABL-AY-5.8x0.625-Cystic-Acne-Spot-0.5oz-Covalence,CM Packaging-Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.065,0.0045,0.0695,1,0.0695,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,x,custom,,,,,,,1,12,,,,,,,,,,,
LID-48-400-Cap-F217-Liner-White-0.5oz-PLSF,CM Packaging-Top,B,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,0,3,1,3500,pcs,0.0825,0.0406,0.1231,1,0.1231,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/continuous-thread-polypropylene-lid/L208A,L208A,,,,,,,1,17,,,,,,,,,,,
BOX-TA-Cystic-Spot-Covalence,CM Packaging-Box,C,XYMO Print,"6800 Kingspointe Pkwy, Orlando, FL 32819, US",,,9,2,60,0,3,1,10000,pcs,0.285,0.0066,0.2916,1,0.2916,Pcs,XYMO Print,"6800 Kingspointe Pkwy, Orlando, FL 32819, US",Karola.Reyes@xymoprint.com,321-276-4984,NET30 after Shipdate,x,custom,,,,,,,1,14,,,,,,,,,,,
BOX-AY-Cystic-Spot-Covalence,CM Packaging-Box,B,XYMO Print,"6800 Kingspointe Pkwy, Orlando, FL 32819, US",,,9,2,60,0,3,1,10000,pcs,0.285,0.0066,0.2916,1,0.2916,Pcs,XYMO Print,"6800 Kingspointe Pkwy, Orlando, FL 32819, US",Karola.Reyes@xymoprint.com,321-276-4984,NET30 after Shipdate,x,custom,,,,,,,1,14,,,,,,,,,,,
WL-Invisible-Spot-Treatment-PLSF,White Label,B,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,5000,pcs,2.49,0,2.49,1,2.49,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
RM-PWD-Black-Tea-Extract,Raw Material,A,Hunan Huacheng Biotech,"No.8,Xingkang South Rd.,High-tech Zone,Changsha,Hunan,China.410205",info@adallen-nutrition.com,86 731 88988 198/118,2,12,60,30,3,1,20,kg,9,0,9,1,9,Kg,Passiono,"606, No. 1818 Huangxing Road, Shanghai, China",info@adallen-nutrition.com,86 731 88988 198/118,CBS,,,,,,,,,1,17,,,,,,,,,,,
