iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
Natrisweet Powders,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM-PWD-Citicoline-Sodium-1kg,
NS-Stevia-Powder-4oz-Organic,NatriSweet,B,166,03-Jan,167,10/04/24,Units,0,0,0,0,1,,B01N7FYVEM,166,0,0,0,,,167,10/04/24,,0.60%,,,,RM-PWD-Black-Tea-Powder-5kg,Natrisweet Powders
NS-Monk-Fruit-Powder-Organic,NatriSweet,A,97,,97,10/04/24,Units,0,0,0,0,0,,B07PRYV8CF,97,0,0,0,,,97,10/04/24,,0.00%,,,,RM-PWD-Potassium-Sorbate-Powder-1kg,Natrisweet Powders
NS-Premium-High-Reb-A-Stevia-Powder-4oz,NatriSweet,,0,,,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,,10/04/24,,0.00%,,,,RM-PWD-Organic-Stevia-TSG90-3kg,Natrisweet Powders
NS-Premium-Stevia-Powder-4oz,NatriSweet,C,0,,34,10/04/24,Units,0,0,150,0,0,,B0CFV11R7N,0,150,150,0,,,34,10/04/24,,100.00%,,,,RM-PWD-Salicylic-Acid-Powder-5kg,Natrisweet Powders
Natrisweet Liquid Sweeteners,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM-PWD-MONK-FRUIT-20KG,
NS-Original-Stevia-Liquid-8oz,NatriSweet,A,134,01-Feb,150,10/04/24,Units,0,0,0,0,16,,B018SWE5DY,0,10915,5920,4995,,,150,10/04/24,,10.67%,,,,RM-PWD-MONK-FRUIT-5KG,Natrisweet Liquid Sweeteners
NS-Monk-Fruit-Liquid-Drops-8oz,NatriSweet,B,101,01-Feb,103,10/04/24,Units,0,0,0,0,2,,B097TNVJHB,0,0,0,0,,,103,10/04/24,,1.94%,,,,RM-PWD-Magnesium-Bisglycinate-Chelate-1kg,Natrisweet Liquid Sweeteners
NS-Monk-Fruit-Stevia-Liquid-Drops-8oz,NatriSweet,B,128,02-Jan,128,10/04/24,Units,0,0,0,0,0,,B097YXS1Z5,128,0,0,0,,,128,10/04/24,,0.00%,,,,RM-PWD-L-Theanine-1kg,Natrisweet Liquid Sweeteners
NS-Organic-Stevia-Liquid-Drops-8oz,NatriSweet,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DBVGV5S2,0,0,0,0,,,0,10/04/24,,0.00%,,,,RM-PWD-Spirulina-Organic-10kg,Natrisweet Liquid Sweeteners
NS-Organic-Monkfruit-Liquid-Drops-8oz,NatriSweet,PLC-2024,40,,41,10/04/24,Units,0,0,0,0,1,,B0DBTXGT93,40,0,0,0,,,41,10/04/24,,2.44%,,,,RM-PWD-Organic-Stevia-TSG90-5kg,Natrisweet Liquid Sweeteners
NS-Original-Liquid-Stevia-2oz,NatriSweet,,0,01-Jan,0,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,0,10/04/24,,0.00%,,,,TA-Milia-Spot-Treatment-0.5oz,Natrisweet Liquid Sweeteners
NS-Stevia-Liquid-Vanilla-2oz,NatriSweet,,566,01-Jan,568,10/04/24,Units,0,0,0,0,2,,B018RVKWAG,566,0,0,0,,,568,10/04/24,,0.35%,,,,TA-Acne-Patches-2PC,Natrisweet Liquid Sweeteners
NS-Caramel-Liquid-Stevia-2oz-TearDrop,NatriSweet,,424,,424,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,424,10/04/24,,0.00%,,,,TA-Acne-Patches-1PC,Natrisweet Liquid Sweeteners
NS-Choclate-Liquid-Stevia-2oz-TearDrop,NatriSweet,,451,,451,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,451,10/04/24,,0.00%,,,,RM-PWD-Sencha-Green-Tea-Powder-1kg,Natrisweet Liquid Sweeteners
