BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,Received QTY After Actual Count (From Receiving Logs Only) (+),MFG After Actual (-),rank,,,,,,Theoretical QTY,Actual Count,Date Counted,WH Remarks,Variance,Random Count,Date Counted,Subtype
Organic Room Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoop-.625cc,Scoop,A,"14,000.00",,"5,000.00",09/01/24,units,180.00%,4800,4800,0,9000,6800,3,,,,,,7200,"16,411.00",10/07/24,,14.69%,"16,411.00",10/07/24,Organic Room Packaging
Scoop-1.25cc,Scoop,C,"3,600.00",,"3,600.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,3600,"2,500.00",10/07/24,,-44.00%,"2,500.00",10/07/24,Organic Room Packaging
PCH-5oz-TH-OrganicMonkFruit-Preprinted,container/Pouch,A,"5,200.00",,"5,200.00",09/01/24,units,0.00%,4400,4400,0,0,6400,10,,,,,,-1200,"9,550.00",10/07/24,,45.55%,"9,550.00",10/07/24,Organic Room Packaging
PCH-5oz-NAT-OrganicMonkfruit-Preprinted,container/Pouch,A,"10,556.00",,"10,556.00",09/01/24,units,0.00%,0,0,0,0,0,39,,,,,,10556,"9,260.00",10/07/24,,-14.00%,"9,260.00",10/07/24,Organic Room Packaging
PCH-5oz-NAT-OrganicStevia-Preprinted,container/Pouch,B,"9,700.00",,"9,700.00",09/01/24,units,0.00%,0,0,0,0,0,102,,,,,,9700,"13,343.00",10/07/24,,27.30%,"13,343.00",10/07/24,Organic Room Packaging
PCH-5oz-PS-OrganicMonkfruit-Preprinted,Label,A,"9,700.00",,"9,700.00",09/01/24,units,0.00%,0,0,0,0,0,16,,,,,,9700,"6,400.00",10/07/24,,-51.56%,"6,400.00",10/07/24,Organic Room Packaging
PCH-5oz-PS-OrganicStevia-Preprinted,Label,A,"8,400.00",,"8,400.00",09/01/24,units,0.00%,0,0,0,0,1700,20,,,,,,6700,"4,600.00",10/07/24,,-82.61%,"4,600.00",10/07/24,Organic Room Packaging
PCH-5oz-WHYZ-OrganicMonkFruit-Preprinted,container/Pouch,A,0,,0,09/01/24,units,0.00%,0,0,0,0,0,13,,,,,,0,"5,350.00",10/07/24,,100.00%,"5,350.00",10/07/24,Organic Room Packaging
Pouches,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH-1oz-Stndup-WHITE-Matt,Container/Pouch,B,"8,000.00",,"8,000.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,8000,"6,041.00",10/07/24,,-32.43%,"6,041.00",10/07/24,Pouches
PCH-2oz-Stndup-WH-Matt,Container/Pouch,,"2,100.00",,"2,100.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,2100,"4,880.00",10/07/24,,56.97%,"4,880.00",10/07/24,Pouches
PCH-4oz-Stndup-WH-Matt,container/Pouch,B,"7,400.00",,"7,400.00",09/01/24,units,0.00%,150,150,0,0,150,105,,,,,,7250,"3,863.00",10/07/24,,-91.56%,"3,863.00",10/07/24,Pouches
PCH-5oz-Stndup-WH-Matt,Container/Pouch,C,"9,000.00",,"9,000.00",09/01/24,units,0.00%,700,600,100,0,1000,8,,,,,,8000,"8,440.00",10/07/24,,-6.64%,"8,440.00",10/07/24,Pouches
PCH-8oz-Stndup-WH-Matt,container/Pouch,B,"9,000.00",,"9,000.00",09/01/24,units,0.00%,800,800,0,0,800,24,,,,,,8200,"9,547.00",10/07/24,,5.73%,"9,547.00",10/07/24,Pouches
PCH-16oz-Stndup-WH-Matt,Eco Bags,B,"4,000.00",,"4,000.00",09/01/24,units,0.00%,500,550,-50,0,1000,28,,,,,,3000,"1,275.00",10/07/24,,-213.73%,"1,275.00",10/07/24,Pouches
PCH-24oz-Stndup-WH-Matt,container/Pouch,,500,,500,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,500,0,10/07/24,,-100.00%,0,10/07/24,Pouches
PCH-32oz-Stndup-WHITE-Matt,container/Pouch,,990,,990,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,990,"1,480.00",10/07/24,,33.11%,"1,480.00",10/07/24,Pouches
PCH-1kg-Stndup-WHITE-Matt,container/Pouch,,50,,50,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,50,50,10/07/24,,0.00%,50,10/07/24,Pouches
PCH-5oz-Stndup-BLACK-Matt,Container/Pouch,B,"2,000.00",,"1,000.00",09/01/24,units,100.00%,0,0,0,1000,0,54,,,,,,2000,"1,500.00",10/07/24,,-33.33%,"1,500.00",10/07/24,Pouches
PCH-1oz-Stndup-BLACK-Matt,Container/Pouch,C,"4,000.00",,"4,000.00",09/01/24,units,0.00%,0,0,0,0,0,91,,,,,,4000,"3,000.00",10/07/24,,-33.33%,"3,000.00",10/07/24,Pouches
PCH-32oz-Stndup-BLACK-Matt,container/Pouch,PLC-2024,0,,0,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Pouches
Brand Name Pouches,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH-4oz-TH-New-Preprinted,container/Pouch,,"3,500.00",,"3,500.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,3500,723,10/07/24,,-384.09%,723,10/07/24,Brand Name Pouches
