BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO (metric unit),Past 30 FO (metric unit),Manufactured-Fulfilled,Used for MFG After Actual (-),Conversion,Received QTY After Actual Count (From Receiving Logs Only) (+),Ranking,Current Internal lot number,Used in IHF/ Shipstation After Count,,,Theo Count Static,Actual Count,Date Counted,WH Remarks,Theoretical QTY,Variance,Random Count,Date Counted,Subtype
Powders,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-PWD-Organic-Monk-Fruit-Extract-10%,Powder,A,1297.12,,"1,298.12",10/04/24,Kg,0.08%,497.2,497.2,0,0,1,0,74777,3,1,,,,"1,298.12",10/04/24,,"1,297.12",0.08%,"1,298.12",10/04/24,Powders
RM-PWD-Monk-Fruit-Extract-5%,Powder,PLC-2024,200,,200,10/04/24,Kg,0.00%,0,0,0,0,1,0,5000,,0,,,,200,10/04/24,,200,0.00%,200,10/04/24,Powders
RM-PWD-Organic-Stevia-TSG90,Powder,A,114.76,,114.76,10/04/24,Kg,0.00%,0,0,0,0,1,0,4496,LIQ-001,0,,,,114.76,10/04/24,,114.76,0.00%,114.76,10/04/24,Powders
RM-PWD-Spirulina-Organic,Powder,C,47.8,,48.8,10/04/24,Kg,2.05%,0,0,0,0,1,0,652,Spi-001,1,,,,48.8,10/04/24,,47.8,2.05%,48.8,10/04/24,Powders
RM-PWD-Black-Tea-Extract,Powder,A,0,,0.96,10/04/24,Kg,100.00%,943.16,918.76,24.4,0,1,0,0,0,8,,,,0.96,10/04/24,,-7.04,100.00%,0.96,10/04/24,Powders
RM-PWD-Black-Tea-Extract-Iced,Powder,,0,,0,10/04/24,Kg,0.00%,0,0,0,0,1,0,0,BkT-001,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,Powders
RM-PWD-Stevia-SG95RA60,Powder,,385.37,,85.37,10/04/24,Kg,351.41%,460.87,458.12,2.75,0,1,300,16956,1,0,,,,85.37,10/04/24,,385.37,-351.41%,584.14,8/19/2024,Powders
RM-PWD-Stevia-Monk-Fruit-Stevia-Blend,Powder,C,47.49,,47.49,10/04/24,Kg,0.00%,0,0,0,0,1,0,760,Bld-001,0,,,,47.49,10/04/24,,47.49,0.00%,47.49,10/04/24,Powders
RM-PWD-Magnesium-Bisglycinate-Chelate,Powder,C,157.95,,157.95,10/04/24,Kg,0.00%,0,0,0,0,1,0,4839,LON-001,0,,,,157.95,10/04/24,,157.95,0.00%,157.95,10/04/24,Powders
RM-PWD-Shilajith,Powder,A,0,,8.09,10/04/24,Kg,100.00%,20,20,0,20,1,0,0,Shi-001,0,,,,8.09,10/04/24,,-11.91,100.00%,8.09,10/04/24,Powders
RM-PWD-Pu-erh-Tea,Powder,C,48.24,,48.24,10/04/24,Kg,0.00%,0,0,0,0,1,0,1158,Pur-001,0,,,,48.24,10/04/24,,48.24,0.00%,48.24,10/04/24,Powders
RM-PWD-MyoInositol,Powder,C,56.71,,56.71,10/04/24,Kg,0.00%,0,0,0,0,1,0,1239,Myo-001,0,,,,56.71,10/04/24,,56.71,0.00%,56.71,10/04/24,Powders
RM-PWD-AlphaGPC,Powder,C,1.88,,1.88,10/04/24,Kg,0.00%,0,0,0,0,1,0,109,GPC-001,0,,,,1.88,10/04/24,,1.88,0.00%,1.88,10/04/24,Powders
RM-PWD-Citicoline-Sodium,Powder,B,10,,10,10/04/24,Kg,0.00%,0,0,0,0,1,0,1870,CDP-001,0,,,,10,10/04/24,,10,0.00%,10,10/04/24,Powders
RM-PWD-Cordyceps-Militaris-Organic,Powder,C,73.8,,73.8,10/04/24,Kg,0.00%,0,0,0,0,1,0,3911,Cor-001,0,,,,73.8,10/04/24,,73.8,0.00%,73.8,10/04/24,Powders
RM-PWD-Tea-MatchGreen,Powder,C,85.34,,85.34,10/04/24,Kg,0.00%,0,0,0,0,1,0,2987,Mat-001,0,,,,85.34,10/04/24,,85.34,0.00%,85.34,10/04/24,Powders
RM-PWD-Tea-Sencha-Green-Tea-Extract,Powder,B,140.54,,140.54,10/04/24,Kg,0.00%,56.5,56.5,0,0,1,0,2389,GrT-001,0,,,,140.54,10/04/24,,140.54,0.00%,140.54,10/04/24,Powders
RM-PWD-BetaAlanine,Powder,C,111.47,,111.47,10/04/24,Kg,0.00%,0,0,0,0,1,0,814,BeA-001,0,,,,111.47,10/04/24,,111.47,0.00%,111.47,10/04/24,Powders
RM-PWD-ALCAR,Powder,C,25,,25,10/04/24,kg,0.00%,0,0,0,0,1,0,913,ALC-001,0,,,,25,10/04/24,,25,0.00%,25,10/04/24,Powders
RM-PWD-Green-Coffee-Bean-Extract,Powder,B,62.19,,62.19,10/04/24,Kg,0.00%,0,0,0,0,1,0,1866,GCB-001,0,,,,62.19,10/04/24,,62.19,0.00%,62.19,10/04/24,Powders
RM-PWD-DHM,Powder,A,0,,39.51,10/04/24,Kg,100.00%,40,40,0,40,1,0,0,DHM-001,0,,,,39.51,10/04/24,,-0.49,100.00%,39.51,10/04/24,Powders
RM-PWD-Longjack-200:1,Powder,,50,,50,10/04/24,Kg,0.00%,0,0,0,0,1,0,1250,ALC-001,0,,,,50,10/04/24,,50,0.00%,50,10/04/24,Powders
RM-PWD-L-Citrulline-Malate-2:1,Powder,C,202.83,,203.83,10/04/24,Kg,0.49%,0,0,0,0,1,0,2327,Cit-001,1,,,,203.83,10/04/24,,202.83,0.49%,203.83,10/04/24,Powders
RM-PWD-L-Theanine,Powder,C,25,,25,10/04/24,Kg,0.00%,0,0,0,0,1,0,588,Lth-001,0,,,,25,10/04/24,,25,0.00%,25,10/04/24,Powders
RM-PWD-AgmatineSulfate,Powder,C,0,,0,10/04/24,Kg,0.00%,0,0,0,0,1,0,0,AgS-001,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,Powders
RM-PWD-AscorbicAcid,Powder,,0,,0,10/04/24,Kg,0.00%,0,0,0,0,1,0,0,1,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,Powders
RM-PWD-Methylene-Blue,Powder,PLC-2024,1.5,,1.5,10/04/24,Kg,0.00%,0,0,0,0,1,0,557,,0,,,,1.5,10/04/24,,1.5,0.00%,0.4,8/19/2024,Powders
