ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08KSL8YHJ,AY-Mystical-Mist-4oz,BTL-4oz-Cosmo-White-20-410,Packaging,Container/Pouch,1,0.24,0.24,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-Aloe-Vera-Juice,Raw Material,Ingredient,0.01178,1.15,0.01351,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-CLARY-SAGE-WATER,Raw Material,Ingredient,0.01178,5.44,0.06407,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.02846,0.26,0.00752,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-EUCALYPTUS-WATER,Raw Material,Ingredient,0.01178,6.48,0.07631,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-LEMONGRASS-WATER,Raw Material,Ingredient,0.01178,6.48,0.07631,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-PWD-Potassium-Sorbate,Raw Material,Ingredient,0.00003,15.88,0.00045,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-PWD-SALICYLIC-ACID,Raw Material,Ingredient,0.00236,11.13,0.02624,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-SODIUM-LACTATE,Raw Material,Ingredient,0.00468,11.24,0.05254,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-SPEARMINT-WATER,Raw Material,Ingredient,0.01178,8.48,0.09992,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-TEA-TREE-WATER,Raw Material,Ingredient,0.01178,6.67,0.0786,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.01178,4.03,0.04747,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,LABL-AY-Acne-Face-Spray-4oz,Packaging,Label,1,0.41,0.41,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08KSL8YHJ,AY-Mystical-Mist-4oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Active,
B08JRVPDNX,AY-Bloom-All-Over-Clay-Mask-8oz,CLEARECOBAG-7.5X10,Packaging,Eco Bags,1,0.08,0.0816,Hibernated,
B08JRVPDNX,AY-Bloom-All-Over-Clay-Mask-8oz,Ayadara-Rose-Stem-Cell-Clay-Mask-8oz-PLSF,Raw Material,Turnkey FG,1,6,6,Hibernated,
B08JQQNP8B,AY-Bloom-Booster-Hair-Conditioner-8oz,Ayadara-Rose-Stem-Cell-Conditioner-8oz-PLSF,Raw Material,Turnkey FG,1,5.75,5.75,Hibernated,
B08JY88C32,AY-Bootylicious-Butt-Acne-Lotion-8oz,LABL-AY-7.125x3-Bootylicious-8oz,Packaging,Label,0,0.27,0,Active,
B08JY88C32,AY-Bootylicious-Butt-Acne-Lotion-8oz,M879CL-Dome-Shrink-Band 77X240,Packaging,Safety Shrink Band,0,0.1,0,Active,
B08JY88C32,AY-Bootylicious-Butt-Acne-Lotion-8oz,M1612CL-Dome-Shrink-Band 100X180mm,Packaging,Safety Shrink Band,1,0.11,0.107,Active,
B08JY88C32,AY-Bootylicious-Butt-Acne-Lotion-8oz,AY-Bootylicious-Butt-Acne-Lotion-8oz-DS,Raw Material,Turnkey FG,1,5.7,5.7,Active,
B07WWXR1DB,AY-Breakout-Warrior-Acne-Cream-2oz,LABL-1.25x7.125-Breakout-Warrior-Acne-Cream-Side,Packaging,Label,1,0.09,0.0855,Active,
B07WWXR1DB,AY-Breakout-Warrior-Acne-Cream-2oz,M1109CL-Safety-Shrink-Band-100x38mm,Packaging,Safety Shrink Band,1,0.03,0.03231,Active,
B07WWXR1DB,AY-Breakout-Warrior-Acne-Cream-2oz,WL-Acne-Face-Cream-2oz-PLSF,Raw Material,White Label,1,2.75,2.75,Active,
#N/A,AY-Celestial-Body-8oz,Green-Tea-Honey-Lotion-Unlabeled-8oz,Raw Material,White Label,1,#N/A,#N/A,hibernated,
B08KD89N97,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,BTL-4oz-Cosmo-White-24-410-HS,Packaging,CM Packaging-Container,1,0.3,0.2986,Active,
B08KD89N97,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,LABL-AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz-HS,Packaging,CM Packaging-Label,1,0.22,0.22,Active,
B08KD89N97,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,LID-24-410-Disc-Top-White-HS,Packaging,CM Packaging-Top,1,0.07,0.06792,Active,
B08KD89N97,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Active,
B08KD89N97,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz-HS,Raw Material,Turnkey FG,1,1.7,1.7,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,BTL-8oz-Cosmo-White-24-410-HS,Packaging,CM Packaging-Container,1,0.4,0.39784,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,LABL-AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,Packaging,CM Packaging-Label,1,0.15,0.15,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,LID-24-410-Disc-Top-White-HS,Packaging,CM Packaging-Top,1,0.07,0.06792,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,CLEARECOBAG-7.5X10,Packaging,Eco Bags,1,0.08,0.0816,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,Raw Material,Turnkey FG,1,2.41,2.41,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.10403,0.26,0.02748,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.01022,0.73,0.00747,Active,
