,,,,,,Powder COAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURCHASE ORDER DETAILS,,,,,,,,,,,,,DELIVERY DETAILS,,,,,,,,,,,,,COA DETAILS,,,PRICING DETAILS,,,,,,,,,PAYMENT DETAILS,,,,,,,,,,,,,,,REMARKS,,,,,,
DATE ISSUED,REFERENCE,PO #,ASIN,BOM ID,DESCRIPTION,ITEM STATUS/NOTES,CATEGORY,PRODUCT,QTY,UOM,SUPPIER,STATUS,ESTIMATED MFG COMPLETION DATE,ESTIMATED MFG LEAD TIME (DAYS),ESTIMATED SHIPPING LEAD TIME (DAYS),ESTIMATED ARRIVAL DATE,CURRENT EXPECTED ARRIVAL DATE,ACTUAL MFG COMPLETION DATE,ACTUAL MFG LEAD TIME (DAYS),ACTUAL SHIPPING LEAD TIME (DAYS),ACTUAL ARRIVAL DATE,MFG LEAD TIME VARIANCE,SHIPPING LEAD TIME VARIANCE,SHIP TO,CONFIDENTIAL FOR NOVAEO ONLY,COA FOR CUSTOMERS,MFG DATE,EXPIRY DATE,UNIT PRICE,AMOUNT,FREIGHT,DUTY/TAXES,OTHER CHARGES,TOTAL AMOUNT,Landed Cost/unit,PAYMENT TERM,FREIGHT TERM,INVOICE NO.,DOWN PAYMENT,DP DUE DATE,DP DATE PAID,BALANCE AMOUNT,BALANCE DUE DATE,BALANCE PAID DATE,Withn MFG SLA,Within Shipping SLA,Agreed SLA,Delivery TL,Within XSLA,Year,Month,Week,FINDINGS,Type,ASIN,ISKU/BOM,QTY,UOM,Status
01/05/22,220103,2617266,,RM-TA-JASMINE-VANILLA-NAT-FRAGRANCE-OIL-TMP,,,,,2,oz,Wholesale Supplies Plus,CHECKED IN,01/10/22,5,7,01/12/22,01/12/22,01/10/22,5,2,01/12/22,0,-5,Tampa,,,,,$6.39 ,$12.78 ,,,,$12.78 ,$6.39 ,CBS,,,,,,,,,,Yes,12,7,1,2022,Jan,1,UPS TN 1ZA0138R0322493080,,,RM-TA-JASMINE-VANILLA-NAT-FRAGRANCE-OIL-TMP,2,oz,
01/05/22,220103,112362,,RM-SODIUM-LACTATE,,,,,24,lbs,MYO,CHECKED IN,1/18/2022,5,7,1/18/2022,1/18/2022,1/18/2022,13,0,1/18/2022,0,,Tampa,,,,,$3.18 ,$76.32 ,$33.00 ,$5.78 ,,$115.10 ,$4.80 ,CBS,,,,,,,,,No,Yes,12,13,0,2022,Jan,1,,Ingredient,,RM-SODIUM-LACTATE,24,lbs,
01/07/22,,CAP-20-410-Drip-Tip,,RM-ROSE-WATER,,,,,5,gal,Organic Creations,CHECKED IN,01/07/22,5,7,1/18/2022,1/19/2022,01/07/22,0,12,1/19/2022,0,5,Tampa,,,,,$24.50 ,$122.50 ,$40.74 ,,,$163.24 ,$32.65 ,CBS,,,,,,,,,Yes,No,12,12,1,2022,Jan,1,FedEx TN 775733084148,Ingredient,,RM-ROSE-WATER,5,gal,
01/11/22,,1.31E+17,,CAP-20-410-Drip-Tip,,,,,"10,000",pcs,Zhejiang,CHECKED IN,2/17/2022,15,30,03/05/22,03/05/22,2/24/2022,44,13,03/09/22,7,-17,Tampa,,,,,$0.04 ,$362.00 ,$418.00 ,,,$780.00 ,$0.08 ,CBS,,15PI20220112-13-US-09,,,,,,,No,Yes,45,57,0,2022,Jan,2,UPS TN 1Z6706XR6717791371,Top Cover,,CAP-20-410-Drip-Tip,"10,000",pcs,
01/11/22,,1.31E+17,,CAP-24-410-Drip-Tip,,,,,"10,000",pcs,Zhejiang,CHECKED IN,2/17/2022,15,30,3/25/2022,3/29/2022,2/24/2022,44,34,3/30/2022,7,4,Tampa,,,,,$0.04 ,$393.00 ,$172.00 ,,,$565.00 ,$0.06 ,CBS,,15PI20220112-13-US-09,,,,,,,No,No,45,78,0,2022,Jan,2,UPS TN 1Z44753E0328214193,Top Cover,,CAP-24-410-Drip-Tip,"10,000",pcs,
01/11/22,,2061,,RM-PWD-Pu-erh-Tea,,,,,60,kg,Passiono,CHECKED IN,01/11/22,5,25,2/26/2022,04/11/22,01/11/22,0,90,04/11/22,0,65,Tampa,20211129,20211129,11/29/2021,11/28/2023,$24.00 ,"$1,440.00 ",$766.66 ,,,"$2,206.66 ",$36.78 ,NET30,,PSNKS22012609,,,,"$9,640.00 ",3/25/2022,3/22/2022,Yes,No,30,90,0,2022,Jan,2,"Arrived in Tampa FL, will schedule delivery week of 4/11",Ingredient,,RM-PWD-Pu-erh-Tea,60,kg,
01/11/22,,2061,,RM-PWD-Black-Tea-Extract,,,,,400,kg,Passiono,CHECKED IN,01/11/22,5,25,2/26/2022,04/11/22,01/11/22,0,90,04/11/22,0,65,Tampa,20220106,20220106,01/06/22,1/5/20224,$14.00 ,"$5,600.00 ",$766.66 ,,,"$6,366.66 ",$15.92 ,NET30,,,,,,,,,Yes,No,30,90,0,2022,Jan,2,"Arrived in Tampa FL, will schedule delivery week of 4/11",Ingredient,,RM-PWD-Black-Tea-Extract,400,kg,
01/11/22,,2061,,RM-PWD-Black-Tea-Extract-Iced,,,,,20,kg,Passiono,CHECKED IN,01/11/22,5,25,2/26/2022,04/11/22,01/11/22,0,90,04/11/22,0,65,Tampa,20220109,20220109,01/09/22,1/8/20224,$15.00 ,$300.00 ,,,,$300.00 ,$15.00 ,NET30,,,,,,,,,Yes,No,30,90,0,2022,Jan,2,"Arrived in Tampa FL, will schedule delivery week of 4/11",,,RM-PWD-Black-Tea-Extract-Iced,20,kg,
01/11/22,,1.31E+17,,WL-Acne-Patches,,,,,"2,000",pcs,Hebei Houde Hanfang Medical,CHECKED IN,1/20/2022,20,30,1/27/2022,1/27/2022,1/20/2022,9,7,1/27/2022,0,-23,Tampa,,,,,$0.26 ,$520.00 ,$220.00 ,,,$740.00 ,$0.37 ,#N/A,,,,,,,,,Yes,Yes,50,16,1,2022,Jan,2,DHL TN 5068239960,White Label,,WL-Acne-Patches,"2,000",pcs,
01/11/22,,1.31E+17,,TA-Pimple-Tool-Kit,,,,,500,pcs,Cona Industrial,CHECKED IN,1/27/2022,15,20,2/15/2022,2/14/2022,1/27/2022,16,18,2/14/2022,0,-2,Tampa,,,,,$1.56 ,$780.00 ,$850.00 ,,,"$1,630.00 ",$3.26 ,CBS,,,,,,,,,No,Yes,35,34,1,2022,Jan,2,UPS TN 1Z5F13W00335629735,Ingredient,,TA-Pimple-Tool-Kit,500,pcs,
01/11/22,,1.31E+17,,Pimple Acne Toolkit - unlabeled,,,,,100,pcs,Cona Industrial,CHECKED IN,1/27/2022,15,20,2/15/2022,2/14/2022,1/27/2022,16,18,2/14/2022,0,-2,Tampa,,,,,$1.54 ,$154.00 ,,,,$154.00 ,$1.54 ,CBS,,,,,,,,,No,Yes,35,34,1,2022,Jan,2,UPS TN 1Z5F13W00335629735,,,Pimple Acne Toolkit - unlabeled,100,pcs,
01/12/22,,115465,,LABL-NS-6x5-Liquid-Stevia-US-8oz,,version #1235,,,"5,040",pcs,Wizard Labels,CHECKED IN,1/20/2022,5,7,1/20/2022,1/20/2022,1/20/2022,8,0,1/20/2022,0,,Tampa,,,,,$0.21 ,"$1,078.56 ",,,,"$1,078.56 ",$0.21 ,CBS,,,,,,,,,No,Yes,12,8,1,2022,Jan,2,UPS TN 1ZE02E120359851990,Label,,LABL-NS-6x5-Liquid-Stevia-US-8oz,"5,040",pcs,
01/12/22,,2059,,Scoop-.625cc,,,,,"4,500",pcs,National Measure,CHECKED IN,1/17/2022,5,7,1/18/2022,1/18/2022,1/17/2022,5,3,1/20/2022,0,-4,Tampa,,,,,$0.07 ,$306.00 ,$21.87 ,,,$327.87 ,$0.07 ,CBS,,,,,,,,,,Yes,12,8,1,2022,Jan,2,UPS TN 1Z5683930379445088,Scoop,,Scoop-.625cc,"4,500",pcs,
01/12/22,,2058,,BTL-24-410-Cylinder-Round-8oz-White,,"Issued PO for 4k, only 2, 574 available",,,"2,574",pcs,Container and Packaging,CHECKED IN,1/26/2022,5,7,02/01/22,02/01/22,1/26/2022,14,6,02/01/22,0,-1,Tampa,,,,,$0.29 ,$738.74 ,,,,$738.74 ,$0.29 ,NET45,,1471426,,,,$738.74 ,2/14/2022,2/14/2022,No,Yes,12,20,0,2022,Jan,2,UPS TN 1Z765F490395034041,Container/Pouch,,BTL-24-410-Cylinder-Round-8oz-White,"2,574",pcs,
01/12/22,,103798084,,RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,,,,,50,lbs,Bulk Apothecary,CHECKED IN,1/14/2022,10,7,1/24/2022,1/24/2022,1/14/2022,2,10,1/24/2022,0,3,Tampa,,,,,$35.75 ,"$1,787.50 ",$47.13 ,,,"$1,834.63 ",$36.69 ,CBS,,,,,,,,,Yes,No,17,12,1,2022,Jan,2,FedEx TN 288897631611,Ingredient,,RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,50,lbs,
1/13/2022,,2060,,RM-PWD-AlphaGPC,,,,,10,kg,Haigen,CHECKED IN,1/20/2022,5,25,02/12/22,2/18/2022,1/20/2022,7,27,2/16/2022,0,2,Tampa,22110122601,22110122601,12/26/2021,12/25/2024,$108.00 ,"$1,080.00 ",,,,"$1,080.00 ",$108.00 ,NET90,,22NK10C0117Y1928,,,,"$1,080.00 ",3/29/2022,3/29/2022,No,No,30,34,0,2022,Jan,2,"FedEx TN 775817955727, Pending Customs Release",Ingredient,,RM-PWD-AlphaGPC,10,kg,
